Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   82 12:59:40 -1905596.796084        0.0045
BFGS:   83 13:00:06 -1905596.796100        0.0025
BFGS:   84 13:00:31 -1905596.796113        0.0036
BFGS:   85 13:00:56 -1905596.796128        0.0058
BFGS:   86 13:01:23 -1905596.796145        0.0054
BFGS:   87 13:01:49 -1905596.796159        0.0033
BFGS:   88 13:02:15 -1905596.796170        0.0024
BFGS:   89 13:02:40 -1905596.796180        0.0035
BFGS:   90 13:03:07 -1905596.796191        0.0043
BFGS:   91 13:03:32 -1905596.796203        0.0042
BFGS:   92 13:03:58 -1905596.796212        0.0029
BFGS:   93 13:04:23 -1905596.796220        0.0021
BFGS:   94 13:04:48 -1905596.796227        0.0030
BFGS:   95 13:05:14 -1905596.796236        0.0041
BFGS:   96 13:05:40 -1905596.796244        0.0038
BFGS:   97 13:06:06 -1905596.796250        0.0020
BFGS:   98 13:06:32 -1905596.796255        0.0019
BFGS:   99 13:06:58 -1905596.796260        0.0028
BFGS:  100 13:07:24 -1905596.796266        0.0037
BFGS:  101 13:07:50 -1905596.796271        0.0028
BFGS:  102 13:08:16 -1905596.796275        0.0016
BFGS:  103 13:08:43 -1905596.796278        0.0013
BFGS:  104 13:09:09 -1905596.796282        0.0025
BFGS:  105 13:09:34 -1905596.796286        0.0025
BFGS:  106 13:09:59 -1905596.796289        0.0016
BFGS:  107 13:10:25 -1905596.796292        0.0013
BFGS:  108 13:10:51 -1905596.796294        0.0016
BFGS:  109 13:11:16 -1905596.796297        0.0021
BFGS:  110 13:11:42 -1905596.796299        0.0018
BFGS:  111 13:12:08 -1905596.796302        0.0013
BFGS:  112 13:12:34 -1905596.796303        0.0010
BFGS:  113 13:12:59 -1905596.796305        0.0016
BFGS:  114 13:13:25 -1905596.796307        0.0017
BFGS:  115 13:13:51 -1905596.796308        0.0015
BFGS:  116 13:14:16 -1905596.796310        0.0009
39 38 186 79 107
Combined bilayer energy = -1905596.796309821
Energy cost per unit length : 0.08854736665609683
Prev_energy - Current_energy = 0.00090974676613928
      Step     Time          Energy         fmax
BFGS:    0 13:14:16 -1905596.796310        0.1817
BFGS:    1 13:14:39 -1905596.797848        0.1189
BFGS:    2 13:15:02 -1905596.799430        0.0443
BFGS:    3 13:15:26 -1905596.799883        0.0453
BFGS:    4 13:15:51 -1905596.801717        0.0633
BFGS:    5 13:16:16 -1905596.802427        0.0450
BFGS:    6 13:16:41 -1905596.802784        0.0209
BFGS:    7 13:17:06 -1905596.802984        0.0185
BFGS:    8 13:17:30 -1905596.803304        0.0310
BFGS:    9 13:17:54 -1905596.803632        0.0337
BFGS:   10 13:18:18 -1905596.803891        0.0181
