Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:    0 15:19:59 -1905596.925898        0.1257
BFGS:    1 15:20:31 -1905596.926641        0.0821
BFGS:    2 15:21:02 -1905596.927393        0.0303
BFGS:    3 15:21:33 -1905596.927606        0.0310
BFGS:    4 15:22:05 -1905596.928483        0.0432
BFGS:    5 15:22:36 -1905596.928823        0.0308
BFGS:    6 15:23:07 -1905596.929000        0.0146
BFGS:    7 15:23:39 -1905596.929102        0.0131
BFGS:    8 15:24:10 -1905596.929263        0.0216
BFGS:    9 15:24:42 -1905596.929426        0.0232
BFGS:   10 15:25:15 -1905596.929557        0.0124
BFGS:   11 15:25:47 -1905596.929639        0.0106
BFGS:   12 15:26:19 -1905596.929711        0.0108
BFGS:   13 15:26:52 -1905596.929792        0.0149
BFGS:   14 15:27:24 -1905596.929871        0.0148
BFGS:   15 15:27:56 -1905596.929933        0.0106
BFGS:   16 15:28:27 -1905596.929982        0.0085
BFGS:   17 15:29:00 -1905596.930031        0.0097
BFGS:   18 15:29:32 -1905596.930086        0.0128
BFGS:   19 15:30:03 -1905596.930138        0.0136
BFGS:   20 15:30:35 -1905596.930177        0.0084
BFGS:   21 15:31:06 -1905596.930207        0.0060
BFGS:   22 15:31:37 -1905596.930238        0.0063
BFGS:   23 15:32:10 -1905596.930275        0.0111
BFGS:   24 15:32:43 -1905596.930314        0.0107
BFGS:   25 15:33:15 -1905596.930345        0.0060
BFGS:   26 15:33:48 -1905596.930367        0.0041
BFGS:   27 15:34:19 -1905596.930388        0.0058
BFGS:   28 15:34:51 -1905596.930414        0.0080
BFGS:   29 15:35:24 -1905596.930441        0.0071
BFGS:   30 15:35:55 -1905596.930463        0.0045
BFGS:   31 15:36:28 -1905596.930481        0.0037
BFGS:   32 15:37:00 -1905596.930499        0.0062
BFGS:   33 15:37:32 -1905596.930519        0.0070
BFGS:   34 15:38:03 -1905596.930537        0.0056
BFGS:   35 15:38:35 -1905596.930552        0.0033
BFGS:   36 15:39:06 -1905596.930565        0.0047
BFGS:   37 15:39:38 -1905596.930580        0.0064
BFGS:   38 15:40:09 -1905596.930597        0.0071
BFGS:   39 15:40:40 -1905596.930613        0.0043
BFGS:   40 15:41:11 -1905596.930625        0.0027
BFGS:   41 15:41:43 -1905596.930636        0.0041
BFGS:   42 15:42:15 -1905596.930648        0.0062
BFGS:   43 15:42:46 -1905596.930662        0.0055
BFGS:   44 15:43:18 -1905596.930674        0.0025
BFGS:   45 15:43:51 -1905596.930683        0.0024
BFGS:   46 15:44:24 -1905596.930693        0.0046
BFGS:   47 15:44:56 -1905596.930704        0.0052
BFGS:   48 15:45:28 -1905596.930715        0.0038
BFGS:   49 15:45:59 -1905596.930723        0.0026
BFGS:   50 15:46:33 -1905596.930730        0.0028
BFGS:   51 15:47:05 -1905596.930738        0.0041
BFGS:   52 15:47:37 -1905596.930746        0.0039
BFGS:   53 15:48:09 -1905596.930754        0.0033
BFGS:   54 15:48:41 -1905596.930760        0.0016
BFGS:   55 15:49:13 -1905596.930766        0.0029
BFGS:   56 15:49:43 -1905596.930772        0.0031
BFGS:   57 15:50:15 -1905596.930778        0.0030
