Starting calculations for AP-WS2/WS2
      Step     Time          Energy         fmax
BFGS:   82 15:22:44 -2107602.585807        0.0016
BFGS:   83 15:23:16 -2107602.585811        0.0025
BFGS:   84 15:23:49 -2107602.585815        0.0025
BFGS:   85 15:24:23 -2107602.585818        0.0016
BFGS:   86 15:24:56 -2107602.585821        0.0011
BFGS:   87 15:25:27 -2107602.585824        0.0016
BFGS:   88 15:25:58 -2107602.585826        0.0022
BFGS:   89 15:26:30 -2107602.585829        0.0019
BFGS:   90 15:27:02 -2107602.585831        0.0009
37 36 186 75 111
Combined bilayer energy = -2107602.5858310335
Energy cost per unit length : 0.0865766111030034
Prev_energy - Current_energy = 0.0013449111058232849
      Step     Time          Energy         fmax
BFGS:    0 15:27:02 -2107602.585831        0.1513
BFGS:    1 15:27:33 -2107602.586925        0.0971
BFGS:    2 15:28:06 -2107602.588024        0.0389
BFGS:    3 15:28:39 -2107602.588380        0.0401
BFGS:    4 15:29:12 -2107602.589709        0.0552
BFGS:    5 15:29:43 -2107602.590256        0.0399
BFGS:    6 15:30:16 -2107602.590534        0.0175
BFGS:    7 15:30:47 -2107602.590690        0.0168
BFGS:    8 15:31:20 -2107602.590934        0.0264
BFGS:    9 15:31:52 -2107602.591187        0.0291
BFGS:   10 15:32:25 -2107602.591390        0.0164
BFGS:   11 15:32:57 -2107602.591519        0.0146
BFGS:   12 15:33:30 -2107602.591633        0.0133
BFGS:   13 15:34:02 -2107602.591758        0.0186
BFGS:   14 15:34:34 -2107602.591873        0.0160
BFGS:   15 15:35:07 -2107602.591961        0.0117
BFGS:   16 15:35:39 -2107602.592034        0.0114
BFGS:   17 15:36:10 -2107602.592115        0.0141
BFGS:   18 15:36:43 -2107602.592205        0.0156
BFGS:   19 15:37:15 -2107602.592279        0.0138
BFGS:   20 15:37:45 -2107602.592329        0.0067
BFGS:   21 15:38:18 -2107602.592372        0.0081
BFGS:   22 15:38:49 -2107602.592424        0.0099
BFGS:   23 15:39:22 -2107602.592486        0.0136
BFGS:   24 15:39:55 -2107602.592540        0.0106
BFGS:   25 15:40:27 -2107602.592578        0.0053
BFGS:   26 15:40:59 -2107602.592608        0.0055
BFGS:   27 15:41:30 -2107602.592644        0.0087
BFGS:   28 15:42:02 -2107602.592684        0.0097
BFGS:   29 15:42:34 -2107602.592721        0.0060
BFGS:   30 15:43:07 -2107602.592749        0.0057
BFGS:   31 15:43:40 -2107602.592774        0.0061
BFGS:   32 15:44:13 -2107602.592802        0.0085
BFGS:   33 15:44:46 -2107602.592832        0.0071
BFGS:   34 15:45:17 -2107602.592856        0.0043
BFGS:   35 15:45:49 -2107602.592875        0.0042
BFGS:   36 15:46:22 -2107602.592894        0.0073
BFGS:   37 15:46:56 -2107602.592918        0.0080
BFGS:   38 15:47:28 -2107602.592941        0.0070
BFGS:   39 15:48:02 -2107602.592959        0.0030
BFGS:   40 15:48:34 -2107602.592973        0.0045
BFGS:   41 15:49:07 -2107602.592989        0.0064
BFGS:   42 15:49:40 -2107602.593008        0.0079
BFGS:   43 15:50:11 -2107602.593026        0.0056
BFGS:   44 15:50:42 -2107602.593040        0.0029
BFGS:   45 15:51:15 -2107602.593053        0.0039
BFGS:   46 15:51:49 -2107602.593067        0.0066
BFGS:   47 15:52:22 -2107602.593083        0.0065
BFGS:   48 15:52:55 -2107602.593096        0.0031
BFGS:   49 15:53:27 -2107602.593106        0.0026
BFGS:   50 15:54:01 -2107602.593116        0.0048
BFGS:   51 15:54:33 -2107602.593129        0.0063
BFGS:   52 15:55:05 -2107602.593140        0.0045
BFGS:   53 15:55:37 -2107602.593150        0.0019
BFGS:   54 15:56:09 -2107602.593158        0.0029
BFGS:   55 15:56:42 -2107602.593166        0.0051
BFGS:   56 15:57:14 -2107602.593175        0.0048
BFGS:   57 15:57:46 -2107602.593183        0.0023
BFGS:   58 15:58:17 -2107602.593190        0.0018
BFGS:   59 15:58:49 -2107602.593196        0.0040
BFGS:   60 15:59:20 -2107602.593204        0.0048
BFGS:   61 15:59:53 -2107602.593210        0.0032
BFGS:   62 16:00:25 -2107602.593216        0.0014
BFGS:   63 16:00:57 -2107602.593220        0.0023
BFGS:   64 16:01:30 -2107602.593225        0.0038
BFGS:   65 16:02:01 -2107602.593231        0.0036
BFGS:   66 16:02:33 -2107602.593236        0.0017
BFGS:   67 16:03:05 -2107602.593240        0.0014
BFGS:   68 16:03:38 -2107602.593243        0.0024
BFGS:   69 16:04:11 -2107602.593247        0.0029
BFGS:   70 16:04:42 -2107602.593251        0.0023
BFGS:   71 16:05:13 -2107602.593254        0.0014
BFGS:   72 16:05:45 -2107602.593257        0.0014
BFGS:   73 16:06:17 -2107602.593260        0.0022
BFGS:   74 16:06:50 -2107602.593263        0.0025
BFGS:   75 16:07:22 -2107602.593265        0.0017
BFGS:   76 16:07:55 -2107602.593268        0.0013
BFGS:   77 16:08:28 -2107602.593270        0.0015
BFGS:   78 16:09:00 -2107602.593272        0.0019
BFGS:   79 16:09:33 -2107602.593274        0.0018
BFGS:   80 16:10:06 -2107602.593276        0.0010
BFGS:   81 16:10:38 -2107602.593278        0.0011
BFGS:   82 16:11:11 -2107602.593279        0.0012
BFGS:   83 16:11:43 -2107602.593281        0.0015
BFGS:   84 16:12:16 -2107602.593282        0.0014
BFGS:   85 16:12:48 -2107602.593284        0.0008
37 36 186 75 111
Combined bilayer energy = -2107602.5932837976
Energy cost per unit length : 0.08590237303938458
Prev_energy - Current_energy = 0.0006742380636188122
      Step     Time          Energy         fmax
BFGS:    0 16:12:49 -2107602.593284        0.1421
BFGS:    1 16:13:19 -2107602.594254        0.0914
BFGS:    2 16:13:51 -2107602.595234        0.0376
BFGS:    3 16:14:22 -2107602.595552        0.0387
BFGS:    4 16:14:53 -2107602.596758        0.0534
BFGS:    5 16:15:25 -2107602.597260        0.0391
BFGS:    6 16:15:57 -2107602.597513        0.0163
BFGS:    7 16:16:30 -2107602.597653        0.0150
BFGS:    8 16:17:02 -2107602.597873        0.0256
