LAMMPS data file via write_data, version 28 Mar 2023, timestep = 987, units = metal

4902 atoms
3 atom types

0 94.97077653645304 xlo xhi
0 82.24710509770345 ylo yhi
0 30 zlo zhi
-47.485388268226515 0 0 xy xz yz

Masses

1 95.95
2 183.84
3 78.971

Atoms # atomic

1088 3 -5.66132971894233 10.024715256633376 6.780919582411318 1 0 0
3761 2 -3.790635199770095 6.696074465472448 8.470227392554754 1 0 0
3762 2 -3.7833556738819194 6.695410144822012 5.10129324762107 1 0 0
3809 2 -3.7473325603853453 10.013529725377508 8.471490988526051 1 0 0
3810 2 -3.7372173210264465 10.015752514366183 5.102459279650823 1 0 0
1 1 0.9401732624284237 1.6779824530166256 0.18660228129274883 0 0 0
2 1 3.8332373249079454 0.03998439695373882 0.18510550420021143 0 0 0
3 1 0.9094519641408447 5.001311094740689 0.1834691257127962 0 0 0
4 1 3.8048891686321564 3.3595252942418403 0.18351395397338643 0 0 0
5 1 6.702449578520304 1.7224264229516522 0.17870826352390592 0 0 0
7 1 3.7706983850187994 6.679777842153157 0.17888667712124917 0 0 0
8 1 6.6706393766038605 5.038814810718985 0.17438928484863497 0 0 0
12 1 6.632285283046258 8.356354167293341 0.16763981169199282 0 0 0
258 1 -1.984930666082973 6.6461735833607305 0.17724343008480684 1 0 0
282 1 -2.0271045756857635 9.972440835617247 0.16764750386398958 1 0 0
283 1 0.8718169110498293 8.324849203403424 0.17711030211255374 1 0 0
308 1 3.7289092279539293 10.000678955871695 0.17159541716995746 1 0 0
818 3 2.8763524077215115 1.6608012256726743 6.790950159613994 0 0 0
819 3 2.9101124687891406 4.984572848061403 6.790618366243164 0 0 0
820 3 5.76613253084344 3.2990605369946264 6.788128594112164 0 0 0
822 3 5.803159496784675 6.625573269335597 6.786295616279797 0 0 0
826 3 5.846929969556161 9.951352128879615 6.786866758666289 0 0 0
1065 3 -2.845018268132779 5.027989564558797 6.788779965438223 1 0 0
1066 3 0.016259368896091697 3.3457495012114578 6.7910981815409 1 0 0
1089 3 -2.804554554271434 8.34610927872881 6.789313123507418 1 0 0
1090 3 0.052892294646510685 6.66645878733167 6.791811954160792 1 0 0
1114 3 0.09667550096320543 9.98731933747333 6.79498723307047 1 0 0
1115 3 2.950036033828087 8.307983791781757 6.791985791655484 1 0 0
1635 2 2.860469426336986 1.6925447419985873 1.8606401608305685 0 0 0
